id of the run;Costs;Peak Load;Thermal Discomfort
1;-118.68;247.13;0.11
3;-88.06;163.96;0.11
4;-107.23;207.02;0.11
5;-115.81;232.78;0.11
6;-116.74;236.53;0.11
7;-117.37;239.71;0.11
8;-115.81;232.78;0.11
10;-79.95;153.8;0.12
11;-95.01;176.7;0.12
12;-88.06;163.96;0.11
13;-90.92;169.09;0.12
14;-88.75;165.17;0.12
15;-82.16;156.72;0.12
16;-84.97;159.96;0.12
18;-60.82;134.73;0.14
19;-69.61;142.74;0.13
20;-76.05;149.42;0.13
21;-77.4;150.88;0.12
22;-78.71;152.34;0.13
23;-81.12;155.26;0.12
24;-71.7;144.89;0.13
25;-63.61;137.26;0.14
26;-56.72;131.34;0.14
27;-57.49;131.9;0.14
28;-59.21;133.33;0.15
29;-54.37;129.64;0.14
30;-47.27;124.76;0.13
33;-37.85;119.19;0.11
34;-39.65;120.12;0.11
35;-39.51;120.07;0.11
36;-39.09;119.77;0.11
37;-45.06;123.25;0.14
38;-29.38;114.91;0.12
45;-69.59;142.72;0.13
