id of the run;Costs;Peak Load;Thermal Discomfort
1;262.85;76.75;0.17
4;264.18;71.62;0.17
6;263.39;73.27;0.17
7;264.26;71.42;0.16
8;263.81;73.16;0.16
11;264.22;71.55;0.15
12;264.54;70.82;0.15
13;264.35;71.14;0.15
14;264.67;70.41;0.14
16;264.94;70.22;0.15
19;270.94;66.98;0.14
22;265.04;69.65;0.14
23;261.22;142.35;0.17
24;262.3;80.26;0.19
25;261.48;107.42;0.16
27;266.37;69.24;0.13
28;265.5;69.52;0.14
29;268.47;68.14;0.13
30;266.8;69.02;0.12
31;266.49;69.21;0.12
35;274.73;66.84;0.12
38;272.24;66.95;0.14
39;280.56;57.46;0.11
41;274.58;66.85;0.14
42;272.52;66.87;0.14
43;270.96;66.96;0.15
44;272.38;66.88;0.14
45;261.22;142.35;0.17
46;262.84;77.15;0.17
48;270.64;67.13;0.15
53;270.9;67.03;0.13
54;280.56;57.46;0.11
