Costs;Peak Load;id of the run;Thermal Discomfort
378.71;80.8;36;0.22
378.73;79.63;39;0.21
378.79;79.43;21;0.21
378.82;79.24;40;0.21
378.93;78.65;22;0.21
378.99;78.45;42;0.21
379.05;77.87;23;0.2
379.12;77.28;45;0.2
379.16;77.08;24;0.21
379.21;76.69;8;0.2
379.27;76.3;25;0.21
379.3;76.1;48;0.21
379.33;75.9;14;0.2
379.44;75.32;50;0.2
379.5;75.12;4;0.19
379.57;74.73;27;0.2
379.66;73.7;9;0.2
380.22;73.18;31;0.19
380.27;73.16;10;0.19
377.92;139.09;125;0.21
378.53;81.55;126;0.22
378.29;96.1;127;0.22
377.92;139.09;129;0.21
377.92;139.09;140;0.21
377.92;139.09;145;0.21
377.92;139.09;149;0.21
