timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.0;21.58;124.57;0.0;0.0;121.26;-121.26;-0.09;2142.4;0.0;121.3;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;1.0;0.0;22.34;124.14;0.0;0.0;3121.22;-3121.22;-2.34;2339.4;0.0;121.2;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.71;0.0;22.8;123.71;0.0;0.0;2242.27;-2242.27;-4.15;2535.9;0.0;121.9;0.3;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.23;0.0;22.8;123.28;0.0;0.0;807.2;-807.2;-1.49;2733.8;0.0;121.7;0.3;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;22.76;122.85;0.0;0.0;729.61;-729.61;-2.08;2878.9;0.0;129.6;0.26;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.0;1.0;22.52;159.46;0.0;0.0;3145.51;-3145.51;-8.96;3075.3;0.0;145.5;0.02;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.0;1.0;22.27;194.91;0.0;0.0;3152.21;-3152.21;-10.56;3237.5;0.0;152.2;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.88;0.0;22.8;194.48;0.0;0.0;2798.62;-2798.62;-9.38;3376.7;0.0;152.9;0.3;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;0.68;22.53;216.76;0.0;0.0;2349.21;-2349.21;-6.7;3444.9;0.0;295.4;0.03;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.0;0.2;22.25;222.66;0.0;0.0;1186.39;-1186.39;-3.38;3586.7;0.0;586.4;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.99;0.0;22.8;222.23;0.0;0.0;3794.26;-3794.26;-4.36;3943.1;0.0;836.9;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.42;0.0;22.8;221.8;0.0;0.0;2320.88;-2320.88;-2.67;4641.1;0.0;1061.5;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.31;0.0;22.65;221.37;0.0;0.0;1963.19;-1963.19;-26.11;5283.1;0.0;1033.8;0.15;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.27;0.0;22.44;220.94;0.0;0.0;1550.38;-1550.38;-20.62;5686.9;0.0;744.3;0.0;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;1.0;0.0;22.8;178.88;0.0;0.0;3534.96;-3534.96;-32.7;5905.6;4351.3;535.0;0.3;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.55;0.0;22.8;160.3;0.0;0.0;2084.14;-2084.14;-19.28;5840.3;1897.1;419.7;0.3;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.58;0.0;22.8;159.66;0.0;0.0;2061.78;-2061.78;-8.76;6046.8;20.9;310.4;0.3;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;22.45;153.41;0.0;0.0;818.82;-818.82;-3.48;6611.9;608.9;218.8;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;0.26;0.0;22.14;152.98;0.0;0.0;1105.31;-1105.31;-0.06;6621.9;0.0;313.3;0.0;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;1.0;0.0;22.45;115.66;0.0;0.0;3610.14;-3610.14;-0.18;6045.0;3855.4;610.1;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;1.0;0.0;22.8;115.23;0.0;0.0;3692.12;-3692.12;7.38;5657.2;0.0;692.1;0.3;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.53;0.0;22.8;114.8;0.0;0.0;2138.72;-2138.72;4.28;5469.5;0.0;558.3;0.3;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;0.49;0.0;22.8;114.37;0.0;0.0;1889.51;-1889.51;7.84;5174.3;0.0;416.8;0.3;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.48;0.0;22.8;113.94;0.0;0.0;1701.64;-1701.64;7.06;5121.0;0.0;262.2;0.3;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.44;0.0;22.8;113.51;0.0;0.0;1756.39;-1756.39;6.24;4691.9;0.0;446.6;0.3;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.38;0.0;22.8;112.49;0.0;0.0;2104.13;-2104.13;7.47;4043.8;62.0;976.4;0.3;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.0;0.0;22.49;112.06;0.0;0.0;1245.29;-1245.29;-1.06;3994.4;0.0;1245.3;0.0;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;0.78;0.0;22.8;111.63;0.0;0.0;3588.52;-3588.52;-3.05;4494.0;0.0;1242.5;0.3;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;0.2;0.0;22.6;111.2;0.0;0.0;1682.83;-1682.83;-1.43;4768.8;0.0;1082.8;0.1;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;0.67;0.0;22.8;110.76;0.0;0.0;2743.18;-2743.18;-2.33;4720.6;0.0;746.1;0.3;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;0.0;0.0;22.43;110.33;0.0;0.0;590.82;-590.82;-1.0;4753.1;0.0;590.8;0.0;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;0.0;0.0;22.06;109.9;0.0;0.0;594.01;-594.01;-1.01;4777.9;0.0;594.0;0.0;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.0;0.0;21.69;109.47;0.0;0.0;582.85;-582.85;-0.29;4806.6;0.0;582.9;0.0;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;0.2;0.0;21.49;109.04;0.0;0.0;1156.73;-1156.73;-0.58;4890.7;0.0;556.7;0.01;-3.85;-1.0;3.75;1.05;0.0;0.0
35;17:00;0.25;0.0;21.32;108.61;0.0;0.0;1428.71;-1428.71;8.5;4887.6;0.0;686.2;0.18;-3.8;11.9;3.76;1.06;0.0;0.0
36;17:30;1.0;0.0;21.82;108.18;0.0;0.0;3979.65;-3979.65;23.68;4770.9;0.0;979.6;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
37;18:00;1.0;0.0;22.31;107.75;0.0;0.0;4219.59;-4219.59;20.68;4792.0;0.0;1219.6;0.0;-3.87;9.8;3.74;1.04;0.0;0.0
38;18:30;0.0;0.0;21.94;103.62;0.0;0.0;1410.26;-1410.26;6.91;4685.7;386.3;1410.3;0.0;-4.02;9.8;3.72;1.02;0.0;0.0
39;19:00;0.0;0.0;21.58;103.19;0.0;0.0;1250.61;-1250.61;8.32;4768.5;0.0;1250.6;0.0;-3.91;13.3;3.74;1.04;0.0;0.0
40;19:30;0.0;0.0;21.2;102.76;0.0;0.0;766.04;-766.04;5.09;4857.3;0.0;766.0;0.3;-3.51;13.3;3.81;1.11;0.0;0.0
41;20:00;0.41;0.0;21.2;100.13;0.0;0.0;1777.3;-1777.3;7.11;4729.3;229.8;552.7;0.3;-3.01;8.0;3.9;1.2;0.0;0.0
42;20:30;0.36;0.0;21.2;97.58;0.0;0.0;1731.66;-1731.66;6.93;4339.6;221.7;637.3;0.3;-2.41;8.0;4.01;1.31;0.0;0.0
43;21:00;1.0;0.0;21.82;97.15;0.0;0.0;3683.74;-3683.74;14.18;4184.5;0.0;687.9;0.0;-1.86;7.7;4.11;1.41;0.0;0.0
44;21:30;0.2;0.0;21.67;96.72;0.0;0.0;1287.62;-1287.62;4.96;4335.9;0.0;687.6;0.0;-1.36;7.7;4.2;1.5;0.0;0.0
45;22:00;0.0;0.0;21.39;96.29;0.0;0.0;557.1;-557.1;2.4;3719.1;0.0;557.1;0.11;-0.98;8.6;4.26;1.56;0.0;0.0
46;22:30;0.0;0.0;21.2;95.86;0.0;0.0;289.35;-289.35;1.24;2397.4;0.0;289.3;0.3;-0.73;8.6;4.31;1.61;0.0;0.0
47;23:00;0.2;0.0;21.26;95.43;0.0;0.0;742.68;-742.68;-1.34;1799.0;0.0;142.7;0.24;-0.48;-3.6;4.35;1.65;0.0;0.0
48;23:30;1.0;0.0;22.11;95.0;0.0;0.0;3120.71;-3120.71;-5.62;2003.3;0.0;120.7;5.0;-0.23;-3.6;4.4;1.7;0.0;0.0
