timeslot;time of day;simulationResult_electricalLoad_combined;simulationResult_RESGeneration_combined;simulationResult_PVGeneration_combined;simulationResult_SurplusEnergy_combined;simulationResult_costs_combined
1;00:00;75729.65;0.0;0.0;0.0;-56.8
2;00:30;94524.5;0.0;0.0;0.0;-70.89
3;01:00;130523.1;0.0;0.0;0.0;-241.47
4;01:30;130524.57;0.0;0.0;0.0;-241.47
5;02:00;130524.35;0.0;0.0;0.0;-371.99
6;02:30;130523.75;0.0;0.0;0.0;-371.99
7;03:00;130524.65;0.0;0.0;0.0;-437.26
8;03:30;130522.13;0.0;0.0;0.0;-437.25
9;04:00;130522.89;0.0;0.0;0.0;-371.99
10;04:30;130525.42;0.0;0.0;0.0;-372.0
11;05:00;130522.77;0.0;0.0;0.0;-150.1
12;05:30;130524.49;0.0;0.0;0.0;-150.1
13;06:00;130522.41;0.0;0.0;0.0;-1735.95
14;06:30;130523.26;0.0;0.0;0.0;-1735.96
15;07:00;130524.14;0.0;0.0;0.0;-1207.35
16;07:30;130522.2;0.0;0.0;0.0;-1207.33
17;08:00;130524.5;0.0;0.0;0.0;-554.73
18;08:30;130522.92;0.0;0.0;0.0;-554.72
19;09:00;130522.67;0.0;0.0;0.0;-6.53
20;09:30;130523.02;0.0;0.0;0.0;-6.53
21;10:00;130523.58;0.0;0.0;0.0;261.05
22;10:30;130523.42;0.0;0.0;0.0;261.05
23;11:00;49296.37;0.0;0.0;0.0;204.58
24;11:30;65624.96;0.0;0.0;0.0;272.34
25;12:00;130524.6;0.0;0.0;0.0;463.36
26;12:30;130523.09;0.0;0.0;0.0;463.36
27;13:00;130523.11;0.0;0.0;0.0;-110.94
28;13:30;130524.55;0.0;0.0;0.0;-110.95
29;14:00;130524.45;0.0;0.0;0.0;-110.95
30;14:30;130523.97;0.0;0.0;0.0;-110.95
31;15:00;130523.93;0.0;0.0;0.0;-221.89
32;15:30;130524.25;0.0;0.0;0.0;-221.89
33;16:00;130524.59;0.0;0.0;0.0;-65.26
34;16:30;130524.84;0.0;0.0;0.0;-65.26
35;17:00;56326.03;0.0;0.0;0.0;335.14
36;17:30;51466.96;0.0;0.0;0.0;306.23
37;18:00;118086.22;0.0;0.0;0.0;578.62
38;18:30;58076.3;0.0;0.0;0.0;284.57
39;19:00;52299.76;0.0;0.0;0.0;347.79
40;19:30;48707.51;0.0;0.0;0.0;323.9
41;20:00;107491.49;0.0;0.0;0.0;429.97
42;20:30;102695.94;0.0;0.0;0.0;410.78
43;21:00;100588.1;0.0;0.0;0.0;387.26
44;21:30;130524.73;0.0;0.0;0.0;502.52
45;22:00;46737.4;0.0;0.0;0.0;200.97
46;22:30;41156.08;0.0;0.0;0.0;176.97
47;23:00;130523.28;0.0;0.0;0.0;-234.94
48;23:30;130523.03;0.0;0.0;0.0;-234.94
