timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;21.62;0.0;0.0;2987.2;-2987.2;-2.24;10461.8;2987.2;0.0;-2.0;-1.5;4.08;0.0;0.0
2;00:30;0.0;21.54;0.0;0.0;1894.94;-1894.94;-1.42;6699.4;1894.9;0.0;-2.0;-1.5;4.08;0.0;0.0
3;01:00;0.0;21.47;0.0;0.0;1278.94;-1278.94;-2.37;5705.0;1278.9;0.03;-2.05;-3.7;4.07;0.0;0.0
4;01:30;0.0;21.38;0.0;0.0;1172.06;-1172.06;-2.17;7669.5;1172.1;0.12;-2.15;-3.7;4.05;0.0;0.0
5;02:00;0.0;21.27;0.0;0.0;1120.88;-1120.88;-3.19;8777.8;1120.9;0.23;-2.3;-5.7;4.03;0.0;0.0
6;02:30;0.2;21.3;0.0;0.0;4129.25;-4129.25;-11.77;8970.7;1129.2;0.2;-2.5;-5.7;3.99;0.0;0.0
7;03:00;0.2;21.33;0.0;0.0;4150.82;-4150.82;-13.91;9537.2;1150.8;0.17;-2.72;-6.7;3.95;0.0;0.0
8;03:30;0.76;21.73;0.0;0.0;12564.01;-12564.01;-42.09;10502.9;1186.5;0.0;-2.97;-6.7;3.91;0.0;0.0
9;04:00;1.0;22.28;0.0;0.0;16281.98;-16281.98;-46.4;11114.2;1282.0;0.0;-3.24;-5.7;3.86;0.0;0.0
10;04:30;0.97;22.8;0.0;0.0;15944.86;-15944.86;-45.44;11346.5;1441.4;0.3;-3.54;-5.7;3.8;0.0;0.0
11;05:00;0.23;22.8;0.0;0.0;4900.37;-4900.37;-5.64;12708.4;1457.9;0.3;-3.8;-2.3;3.76;0.0;0.0
12;05:30;0.28;22.8;0.0;0.0;5488.67;-5488.67;-6.31;15277.8;1321.7;0.3;-4.0;-2.3;3.72;0.0;0.0
13;06:00;0.3;22.8;0.0;0.0;6446.28;-6446.28;-85.74;16428.6;1910.3;0.3;-4.27;-26.6;3.67;0.0;0.0
14;06:30;0.3;22.8;0.0;0.0;7787.2;-7787.2;-103.57;16063.0;3273.7;0.3;-4.62;-26.6;3.61;0.0;0.0
15;07:00;0.36;22.8;0.0;0.0;9184.0;-9184.0;-84.95;18829.5;3836.5;0.3;-4.87;-18.5;3.56;0.0;0.0
16;07:30;0.47;22.8;0.0;0.0;10660.96;-10660.96;-98.61;24944.1;3543.5;0.3;-5.02;-18.5;3.54;0.0;0.0
17;08:00;0.2;22.57;0.0;0.0;6690.11;-6690.11;-28.43;29751.4;3690.1;0.07;-5.34;-8.5;3.48;0.0;0.0
18;08:30;0.73;22.61;0.0;0.0;15330.28;-15330.28;-65.15;33161.4;4306.8;0.11;-5.84;-8.5;3.39;0.0;0.0
19;09:00;1.0;22.8;0.0;0.0;19458.33;-19458.33;-0.97;34524.1;4458.3;0.3;-6.03;-0.1;3.36;0.0;0.0
20;09:30;0.67;22.8;0.0;0.0;14143.19;-14143.19;-0.71;33698.5;4112.7;0.3;-5.88;-0.1;3.38;0.0;0.0
21;10:00;0.45;22.7;0.0;0.0;10128.91;-10128.91;20.26;31615.4;3368.4;0.2;-5.63;4.0;3.43;0.0;0.0
22;10:30;0.71;22.8;0.0;0.0;12827.02;-12827.02;25.65;28187.9;2198.0;0.3;-5.28;4.0;3.49;0.0;0.0
23;11:00;0.5;22.8;0.0;0.0;9422.86;-9422.86;39.1;26352.4;1922.9;0.3;-4.98;8.3;3.54;0.0;0.0
24;11:30;0.2;22.61;0.0;0.0;5604.69;-5604.69;23.26;26218.7;2604.7;0.11;-4.73;8.3;3.59;0.0;0.0
25;12:00;0.79;22.8;0.0;0.0;15045.62;-15045.62;53.41;26697.2;3266.1;0.3;-4.58;7.1;3.62;0.0;0.0
26;12:30;0.41;22.73;0.0;0.0;10072.23;-10072.23;35.76;27830.2;3905.7;0.23;-4.53;7.1;3.63;0.0;0.0
27;13:00;0.0;22.4;0.0;0.0;4253.54;-4253.54;-3.62;27840.4;4253.5;0.0;-4.45;-1.7;3.64;0.0;0.0
28;13:30;0.0;22.08;0.0;0.0;4289.42;-4289.42;-3.65;26650.4;4289.4;0.0;-4.35;-1.7;3.66;0.0;0.0
29;14:00;0.0;21.77;0.0;0.0;4158.91;-4158.91;-3.54;25324.8;4158.9;0.0;-4.25;-1.7;3.67;0.0;0.0
30;14:30;0.0;21.49;0.0;0.0;3850.54;-3850.54;-3.27;23854.0;3850.5;0.01;-4.15;-1.7;3.69;0.0;0.0
31;15:00;0.0;21.2;0.0;0.0;3748.95;-3748.95;-6.37;23903.6;3749.0;0.3;-4.08;-3.4;3.71;0.0;0.0
32;15:30;0.46;21.2;0.0;0.0;10813.42;-10813.42;-18.38;25578.6;3868.4;0.3;-4.03;-3.4;3.72;0.0;0.0
33;16:00;0.46;21.2;0.0;0.0;11290.24;-11290.24;-5.65;25349.0;4432.2;0.3;-3.95;-1.0;3.73;0.0;0.0
34;16:30;0.41;21.2;0.0;0.0;11691.55;-11691.55;-5.85;23083.3;5471.0;0.3;-3.85;-1.0;3.75;0.0;0.0
35;17:00;0.38;21.2;0.0;0.0;11358.22;-11358.22;67.58;21141.7;5670.2;0.3;-3.8;11.9;3.76;0.0;0.0
36;17:30;0.66;21.41;0.0;0.0;14912.33;-14912.33;88.73;19546.6;4971.8;0.09;-3.8;11.9;3.76;0.0;0.0
37;18:00;1.0;21.83;0.0;0.0;19908.86;-19908.86;97.55;20857.6;4908.9;0.0;-3.87;9.8;3.74;0.0;0.0
38;18:30;0.0;21.52;0.0;0.0;5525.15;-5525.15;27.07;25274.9;5525.2;0.0;-4.02;9.8;3.72;0.0;0.0
39;19:00;0.0;21.2;0.0;0.0;5462.73;-5462.73;36.33;26904.4;5462.7;0.3;-3.91;13.3;3.74;0.0;0.0
40;19:30;0.45;21.2;0.0;0.0;11442.77;-11442.77;76.09;25553.9;4674.8;0.3;-3.51;13.3;3.81;0.0;0.0
41;20:00;0.43;21.2;0.0;0.0;10635.97;-10635.97;42.54;24964.9;4174.0;0.3;-3.01;8.0;3.9;0.0;0.0
42;20:30;0.42;21.2;0.0;0.0;10323.64;-10323.64;41.29;25190.1;3980.1;0.3;-2.41;8.0;4.01;0.0;0.0
43;21:00;0.38;21.2;0.0;0.0;9901.68;-9901.68;38.12;23071.4;4227.2;0.3;-1.86;7.7;4.11;0.0;0.0
44;21:30;0.3;21.2;0.0;0.0;9396.0;-9396.0;36.17;18447.1;4945.5;0.3;-1.36;7.7;4.2;0.0;0.0
45;22:00;0.25;21.2;0.0;0.0;9461.43;-9461.43;40.68;15636.6;5741.4;0.3;-0.98;8.6;4.26;0.0;0.0
46;22:30;0.23;21.2;0.0;0.0;10098.82;-10098.82;43.42;14765.0;6620.3;0.3;-0.73;8.6;4.31;0.0;0.0
47;23:00;0.2;21.2;0.0;0.0;8717.64;-8717.64;-15.69;12554.6;5717.6;0.3;-0.48;-3.6;4.35;0.0;0.0
48;23:30;0.33;21.35;0.0;0.0;7788.54;-7788.54;-14.02;8913.1;2910.5;0.01;-0.23;-3.6;4.4;0.0;0.0
