id of the run;Costs;Peak Load;Weight Costs;Weight Peak Load;MIP Gap;Solving time
1.0;51618.0;134026.0;0.99;0.01;0.1;2.0
2.0;52912.0;99968.0;0.01;0.99;0.07;3.0
3.0;51928.0;114301.0;0.9634;0.0366;0.09;4.0
4.0;51778.0;120068.0;0.9846;0.0154;0.06;7.0
5.0;51640.0;129208.0;0.9887;0.0113;0.04;3.0
6.0;51326.0;174558.0;0.9954;0.0046;0.1;2.0
7.0;51372.0;162494.0;0.9928;0.0072;0.07;2.0
8.0;51566.0;138493.0;0.9914;0.0086;0.1;2.0
9.0;51904.0;115158.0;0.9748;0.0252;0.1;3.0
10.0;51879.0;114597.0;0.9737;0.0263;0.02;4.0
11.0;51265.0;223104.0;1.0;0.0;0.09;2.0
12.0;51361.0;163435.0;0.9941;0.0059;0.06;5.0
13.0;51308.0;181627.0;0.9984;0.0016;0.1;2.0
14.0;51324.0;174895.0;0.9971;0.0029;0.08;2.0
15.0;52920.0;100024.0;0.8598;0.1402;0.07;2.0
16.0;52588.0;104078.0;0.9333;0.0667;0.08;4.0
17.0;52243.0;109174.0;0.9369;0.0631;0.1;4.0
18.0;52657.0;102959.0;0.9243;0.0757;0.03;3.0
19.0;51998.0;112751.0;0.9423;0.0577;0.06;8.0
20.0;52904.0;99920.0;0.9177;0.0823;0.02;4.0
21.0;51265.0;223104.0;1.0;0.0;0.09;2.0
22.0;51686.0;127295.0;0.9869;0.0131;0.09;6.0
23.0;51913.0;114675.0;0.9574;0.0426;0.1;4.0
24.0;51823.0;118112.0;0.9824;0.0176;0.08;6.0
25.0;52278.0;108513.0;0.935;0.065;0.08;4.0
26.0;52514.0;104805.0;0.9297;0.0703;0.05;3.0
27.0;52747.0;102074.0;0.9218;0.0782;0.06;2.0
28.0;52254.0;108868.0;0.94;0.06;0.08;4.0
