timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;21.57;132.49;0.0;0.0;731.13;-731.13;-0.55;0.0;0.0;0.0;0.0;-2.0;-1.5;4.08;1.38
2;00:30;0.0;0.0;21.35;132.06;0.0;0.0;128.6;-128.6;-0.1;0.0;0.0;0.0;0.15;-2.0;-1.5;4.08;1.38
3;01:00;1.0;0.0;22.05;131.63;0.0;0.0;3131.04;-3131.04;-5.79;0.0;0.0;0.0;0.0;-2.05;-3.7;4.07;1.37
4;01:30;0.2;0.0;21.99;131.2;0.0;0.0;745.1;-745.1;-1.38;0.0;0.0;0.0;0.0;-2.15;-3.7;4.05;1.35
5;02:00;0.2;0.0;21.93;130.77;0.0;0.0;745.35;-745.35;-2.12;0.0;0.0;0.0;0.0;-2.3;-5.7;4.03;1.33
6;02:30;0.26;0.0;21.93;130.34;0.0;0.0;912.44;-912.44;-2.6;0.0;0.0;0.0;0.0;-2.5;-5.7;3.99;1.29
7;03:00;0.27;0.0;21.93;129.91;0.0;0.0;1076.49;-1076.49;-3.61;0.0;0.0;0.0;0.0;-2.72;-6.7;3.95;1.25
8;03:30;0.29;0.0;21.93;129.48;0.0;0.0;1430.58;-1430.58;-4.79;0.0;0.0;0.0;0.0;-2.97;-6.7;3.91;1.21
9;04:00;0.35;0.0;21.93;129.05;0.0;0.0;1796.05;-1796.05;-5.12;0.0;0.0;0.0;0.0;-3.24;-5.7;3.86;1.16
10;04:30;0.43;0.0;21.93;128.62;0.0;0.0;2217.47;-2217.47;-6.32;0.0;0.0;0.0;0.0;-3.54;-5.7;3.8;1.1
11;05:00;0.49;0.0;21.93;128.19;0.0;0.0;2367.0;-2367.0;-2.72;0.0;0.0;0.0;0.0;-3.8;-2.3;3.76;1.06
12;05:30;0.52;0.0;21.93;127.76;0.0;0.0;2235.49;-2235.49;-2.57;0.0;0.0;0.0;0.0;-4.0;-2.3;3.72;1.02
13;06:00;0.52;0.0;21.93;127.32;0.0;0.0;2054.3;-2054.3;-27.32;0.0;0.0;0.0;0.0;-4.27;-26.6;3.67;1.0
14;06:30;0.48;0.0;21.93;126.89;0.0;0.0;1857.51;-1857.51;-24.7;0.0;0.0;0.0;0.0;-4.62;-26.6;3.61;1.0
15;07:00;0.49;0.0;21.93;87.35;0.0;0.0;1787.36;-1787.36;-16.53;0.0;0.0;0.0;0.0;-4.87;-18.5;3.56;1.0
16;07:30;0.56;0.0;21.93;86.92;0.0;0.0;1908.88;-1908.88;-17.66;0.0;0.0;0.0;0.0;-5.02;-18.5;3.54;1.0
17;08:00;0.57;0.0;21.93;86.49;0.0;0.0;2055.72;-2055.72;-8.74;0.0;0.0;0.0;0.0;-5.34;-8.5;3.48;1.0
18;08:30;0.52;0.0;21.93;82.7;0.0;0.0;2227.68;-2227.68;-9.47;0.0;0.0;0.0;0.0;-5.84;-8.5;3.39;1.0
19;09:00;0.5;0.0;21.93;82.27;0.0;0.0;2251.94;-2251.94;-0.11;0.0;0.0;0.0;0.0;-6.03;-0.1;3.36;1.0
20;09:30;0.0;1.0;21.53;74.9;0.0;0.0;3513.62;-3513.62;-0.18;0.0;0.0;0.0;0.0;-5.88;-0.1;3.38;1.0
21;10:00;1.0;0.0;21.9;74.47;0.0;0.0;3334.02;-3334.02;6.67;0.0;0.0;0.0;0.0;-5.63;4.0;3.43;1.0
22;10:30;0.0;1.0;21.48;102.74;0.0;0.0;3219.17;-3219.17;6.44;0.0;0.0;0.0;0.02;-5.28;4.0;3.49;1.0
23;11:00;1.0;0.0;21.9;102.31;0.0;0.0;3348.41;-3348.41;13.9;0.0;0.0;0.0;0.0;-4.98;8.3;3.54;1.0
24;11:30;0.38;0.0;21.9;101.02;0.0;0.0;1880.66;-1880.66;7.8;0.0;0.0;0.0;0.0;-4.73;8.3;3.59;1.0
25;12:00;0.35;0.0;21.9;100.58;0.0;0.0;2111.36;-2111.36;7.5;0.0;0.0;0.0;0.0;-4.58;7.1;3.62;1.0
26;12:30;0.39;0.0;21.9;100.15;0.0;0.0;2428.0;-2428.0;8.62;0.0;0.0;0.0;0.0;-4.53;7.1;3.63;1.0
27;13:00;0.43;0.0;21.9;99.72;0.0;0.0;2441.8;-2441.8;-2.08;0.0;0.0;0.0;0.0;-4.45;-1.7;3.64;1.0
28;13:30;0.45;0.0;21.9;99.29;0.0;0.0;2087.78;-2087.78;-1.77;0.0;0.0;0.0;0.0;-4.35;-1.7;3.66;1.0
29;14:00;0.45;0.0;21.9;98.86;0.0;0.0;1858.54;-1858.54;-1.58;0.0;0.0;0.0;0.0;-4.25;-1.7;3.67;1.0
30;14:30;0.4;0.0;21.9;98.43;0.0;0.0;1709.08;-1709.08;-1.45;0.0;0.0;0.0;0.0;-4.15;-1.7;3.69;1.0
31;15:00;0.39;0.0;21.9;98.0;0.0;0.0;1678.41;-1678.41;-2.85;0.0;0.0;0.0;0.0;-4.08;-3.4;3.71;1.01
32;15:30;0.42;0.0;21.9;97.57;0.0;0.0;1773.12;-1773.12;-3.01;0.0;0.0;0.0;0.0;-4.03;-3.4;3.72;1.02
33;16:00;0.41;0.0;21.9;97.14;0.0;0.0;1836.32;-1836.32;-0.92;0.0;0.0;0.0;0.0;-3.95;-1.0;3.73;1.03
34;16:30;0.38;0.0;21.9;96.71;0.0;0.0;1902.78;-1902.78;-0.95;0.0;0.0;0.0;0.0;-3.85;-1.0;3.75;1.05
35;17:00;0.37;0.0;21.9;96.28;0.0;0.0;2147.88;-2147.88;12.78;0.0;0.0;0.0;0.0;-3.8;11.9;3.76;1.06
36;17:30;0.4;0.0;21.9;95.85;0.0;0.0;2592.87;-2592.87;15.43;0.0;0.0;0.0;0.0;-3.8;11.9;3.76;1.06
37;18:00;0.43;0.0;21.9;95.42;0.0;0.0;2611.43;-2611.43;12.8;0.0;0.0;0.0;0.0;-3.87;9.8;3.74;1.04
38;18:30;0.44;0.0;21.9;94.99;0.0;0.0;2133.96;-2133.96;10.46;0.0;0.0;0.0;0.0;-4.02;9.8;3.72;1.02
39;19:00;0.42;0.0;21.9;91.88;0.0;0.0;1820.97;-1820.97;12.11;0.0;0.0;0.0;0.0;-3.91;13.3;3.74;1.04
40;19:30;0.38;0.0;21.9;91.45;0.0;0.0;1678.18;-1678.18;11.16;0.0;0.0;0.0;0.0;-3.51;13.3;3.81;1.11
41;20:00;0.34;0.0;21.9;91.02;0.0;0.0;1622.75;-1622.75;6.49;0.0;0.0;0.0;0.0;-3.01;8.0;3.9;1.2
42;20:30;0.33;0.0;21.9;90.59;0.0;0.0;1673.91;-1673.91;6.7;0.0;0.0;0.0;0.0;-2.41;8.0;4.01;1.31
43;21:00;0.26;0.0;21.9;90.16;0.0;0.0;1392.21;-1392.21;5.36;0.0;0.0;0.0;0.0;-1.86;7.7;4.11;1.41
44;21:30;0.2;0.0;21.94;89.73;0.0;0.0;897.43;-897.43;3.46;0.0;0.0;0.0;0.0;-1.36;7.7;4.2;1.5
45;22:00;0.2;0.0;22.03;89.3;0.0;0.0;729.42;-729.42;3.14;0.0;0.0;0.0;0.0;-0.98;8.6;4.26;1.56
46;22:30;0.2;0.0;22.1;88.87;0.0;0.0;702.38;-702.38;3.02;0.0;0.0;0.0;0.0;-0.73;8.6;4.31;1.61
47;23:00;0.2;0.0;22.14;88.44;0.0;0.0;693.17;-693.17;-1.25;0.0;0.0;0.0;0.0;-0.48;-3.6;4.35;1.65
48;23:30;0.2;0.0;22.15;88.01;0.0;0.0;703.1;-703.1;-1.27;2403.1;0.0;103.1;0.0;-0.23;-3.6;4.4;1.7
