timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.57;132.49;0.0;0.0;731.13;-731.13;-0.55;2329.9;0.0;131.1;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.0;21.35;132.06;0.0;0.0;128.6;-128.6;-0.1;2795.7;0.0;128.6;0.15;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;1.0;0.0;22.05;131.63;0.0;0.0;3131.04;-3131.04;-5.79;3034.1;0.0;131.0;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.0;0.2;21.8;138.97;0.0;0.0;745.1;-745.1;-1.38;3155.8;0.0;145.1;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.48;0.0;22.0;138.54;0.0;0.0;1583.65;-1583.65;-4.51;3142.5;0.0;145.4;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.54;0.0;22.26;138.11;0.0;0.0;1750.74;-1750.74;-4.99;3067.8;0.0;132.4;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.27;0.0;22.26;137.68;0.0;0.0;1076.49;-1076.49;-3.61;3181.1;0.0;259.8;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.29;0.0;22.26;137.25;0.0;0.0;1430.58;-1430.58;-4.79;3397.0;0.0;549.2;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.35;0.0;22.26;136.82;0.0;0.0;1796.05;-1796.05;-5.12;3948.8;0.0;760.3;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.43;0.0;22.26;136.38;0.0;0.0;2217.47;-2217.47;-6.32;4830.8;0.0;935.0;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.49;0.0;22.26;135.95;0.0;0.0;2367.0;-2367.0;-2.72;5473.3;0.0;898.0;0.0;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.52;0.0;22.26;135.52;0.0;0.0;2235.49;-2235.49;-2.57;5783.0;0.0;669.1;0.0;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.62;0.0;22.35;135.09;0.0;0.0;2369.37;-2369.37;-31.51;5647.3;0.0;503.9;0.0;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.91;0.0;22.7;134.66;0.0;0.0;3135.96;-3135.96;-41.71;5150.6;0.0;417.7;0.2;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.49;0.0;22.7;95.12;0.0;0.0;1787.36;-1787.36;-16.53;5162.4;4088.4;325.8;0.2;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.56;0.0;22.7;94.69;0.0;0.0;1908.88;-1908.88;-17.66;5937.9;0.0;216.9;0.2;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.57;0.0;22.7;94.26;0.0;0.0;2055.72;-2055.72;-8.74;5951.6;0.0;331.8;0.2;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.52;0.0;22.7;90.47;0.0;0.0;2227.68;-2227.68;-9.47;5198.4;350.7;680.3;0.2;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;0.5;0.0;22.7;90.04;0.0;0.0;2251.94;-2251.94;-0.11;5015.1;0.0;743.7;0.2;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;0.0;1.0;22.3;82.67;0.0;0.0;3513.62;-3513.62;-0.18;5224.3;3725.7;513.6;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;1.0;0.0;22.67;82.24;0.0;0.0;3334.02;-3334.02;6.67;5443.6;0.0;334.0;0.17;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.0;1.0;22.25;110.51;0.0;0.0;3219.17;-3219.17;6.44;5404.2;0.0;219.2;0.0;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;0.72;0.0;22.45;110.08;0.0;0.0;2510.11;-2510.11;10.42;5031.4;0.0;348.4;0.0;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.0;0.0;22.14;108.78;0.0;0.0;748.72;-748.72;3.11;4017.2;90.2;748.7;0.0;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.35;0.0;22.14;108.35;0.0;0.0;2111.36;-2111.36;7.5;3758.7;0.0;1059.5;0.0;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.39;0.0;22.14;107.92;0.0;0.0;2428.0;-2428.0;8.62;4190.2;0.0;1259.8;0.0;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.43;0.0;22.14;107.49;0.0;0.0;2441.8;-2441.8;-2.08;4604.8;0.0;1163.9;0.0;-4.45;-1.7;3.64;1.0;0.0;0.0
