timeslot;time of day;simulationResult_electricalLoad_combined;simulationResult_RESGeneration_combined;simulationResult_PVGeneration_combined;simulationResult_SurplusEnergy_combined;simulationResult_costs_combined
1;00:00;105244.27;0.0;0.0;0.0;-78.93
2;00:30;30816.16;0.0;0.0;0.0;-23.11
3;01:00;70824.03;0.0;0.0;0.0;-131.02
4;01:30;66837.58;0.0;0.0;0.0;-123.65
5;02:00;44250.94;0.0;0.0;0.0;-126.12
6;02:30;47614.09;0.0;0.0;0.0;-135.7
7;03:00;56940.6;0.0;0.0;0.0;-190.75
8;03:30;58832.64;0.0;0.0;0.0;-197.09
9;04:00;66886.16;0.0;0.0;0.0;-190.63
10;04:30;75782.23;0.0;0.0;0.0;-215.98
11;05:00;88400.69;0.0;0.0;0.0;-101.66
12;05:30;106465.93;0.0;0.0;0.0;-122.44
13;06:00;176855.7;0.0;0.0;0.0;-2352.18
14;06:30;179470.27;0.0;0.0;0.0;-2386.95
15;07:00;172895.21;0.0;0.0;0.0;-1599.28
16;07:30;179135.04;0.0;0.0;0.0;-1657.0
17;08:00;142805.92;0.0;0.0;0.0;-606.93
18;08:30;135258.31;0.0;0.0;0.0;-574.85
19;09:00;134610.86;0.0;0.0;0.0;-6.73
20;09:30;148990.08;0.0;0.0;0.0;-7.45
21;10:00;145505.73;0.0;0.0;0.0;291.01
22;10:30;139453.25;0.0;0.0;0.0;278.91
23;11:00;135430.34;0.0;0.0;0.0;562.04
24;11:30;122501.66;0.0;0.0;0.0;508.38
25;12:00;60684.73;0.0;0.0;0.0;215.43
26;12:30;88240.04;0.0;0.0;0.0;313.25
27;13:00;125303.75;0.0;0.0;0.0;-106.51
28;13:30;129628.98;0.0;0.0;0.0;-110.18
29;14:00;124326.0;0.0;0.0;0.0;-105.68
30;14:30;127944.26;0.0;0.0;0.0;-108.75
31;15:00;135025.99;0.0;0.0;0.0;-229.54
32;15:30;126797.92;0.0;0.0;0.0;-215.56
33;16:00;129304.76;0.0;0.0;0.0;-64.65
34;16:30;128733.96;0.0;0.0;0.0;-64.37
35;17:00;76637.34;0.0;0.0;0.0;455.99
36;17:30;71842.86;0.0;0.0;0.0;427.47
37;18:00;149906.9;0.0;0.0;0.0;734.54
38;18:30;143104.25;0.0;0.0;0.0;701.21
39;19:00;91116.81;0.0;0.0;0.0;605.93
40;19:30;72339.68;0.0;0.0;0.0;481.06
41;20:00;131288.17;0.0;0.0;0.0;525.15
42;20:30;130971.74;0.0;0.0;0.0;523.89
43;21:00;106083.91;0.0;0.0;0.0;408.42
44;21:30;99828.94;0.0;0.0;0.0;384.34
45;22:00;96907.53;0.0;0.0;0.0;416.7
46;22:30;80324.98;0.0;0.0;0.0;345.4
47;23:00;113105.96;0.0;0.0;0.0;-203.59
48;23:30;85679.16;0.0;0.0;0.0;-154.22
