timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.23;21.75;0.0;0.0;7637.6;-7637.6;38.19;14234.2;4229.0;0.0;-1.1;10.0;4.24;0.0;0.0
2;00:30;0.2;21.76;0.0;0.0;6405.09;-6405.09;32.03;11906.6;3405.1;0.0;-1.1;10.0;4.24;0.0;0.0
3;01:00;0.2;21.78;0.0;0.0;5788.44;-5788.44;34.44;10585.0;2788.4;0.0;-1.1;11.9;4.24;0.0;0.0
4;01:30;0.2;21.81;0.0;0.0;5393.35;-5393.35;32.09;10338.9;2393.4;0.0;-1.1;11.9;4.24;0.0;0.0
5;02:00;0.2;21.82;0.0;0.0;4997.06;-4997.06;23.99;11315.5;1997.1;0.0;-1.15;9.6;4.23;0.0;0.0
6;02:30;0.22;21.82;0.0;0.0;4879.03;-4879.03;23.42;13599.3;1599.5;0.0;-1.25;9.6;4.22;0.0;0.0
7;03:00;0.56;22.06;0.0;0.0;9713.03;-9713.03;37.88;14573.2;1305.2;0.0;-1.28;7.8;4.21;0.0;0.0
8;03:30;1.0;22.65;0.0;0.0;16121.49;-16121.49;62.87;14146.7;1121.5;0.15;-1.23;7.8;4.22;0.0;0.0
9;04:00;0.47;22.82;0.0;0.0;8198.39;-8198.39;35.66;14515.9;1179.0;0.32;-1.18;8.7;4.23;0.0;0.0
10;04:30;0.49;23.0;0.0;0.0;8794.18;-8794.18;38.25;15735.5;1494.3;0.5;-1.13;8.7;4.24;0.0;0.0
11;05:00;0.27;23.0;0.0;0.0;6060.99;-6060.99;27.27;16964.5;2017.1;0.5;-1.05;9.0;4.25;0.0;0.0
12;05:30;0.0;22.78;0.0;0.0;2761.49;-2761.49;12.43;18203.5;2761.5;0.28;-0.95;9.0;4.27;0.0;0.0
13;06:00;0.0;22.56;0.0;0.0;4001.54;-4001.54;37.01;18703.2;4001.5;0.06;-0.88;18.5;4.28;0.0;0.0
14;06:30;0.0;22.34;0.0;0.0;5771.4;-5771.4;53.39;18412.6;5771.4;0.0;-0.83;18.5;4.29;0.0;0.0
15;07:00;0.0;22.09;0.0;0.0;6451.65;-6451.65;105.16;20726.4;6451.6;0.0;-0.8;32.6;4.3;0.0;0.0
16;07:30;0.0;21.78;0.0;0.0;5967.13;-5967.13;97.26;25824.1;5967.1;0.0;-0.8;32.6;4.3;0.0;0.0
17;08:00;0.0;21.41;0.0;0.0;5199.71;-5199.71;73.84;30869.3;5199.7;0.09;-0.78;28.4;4.3;0.0;0.0
18;08:30;0.56;21.41;0.0;0.0;12503.14;-12503.14;177.54;35858.3;4129.9;0.09;-0.73;28.4;4.31;0.0;0.0
19;09:00;0.58;21.41;0.0;0.0;12204.58;-12204.58;162.93;37222.6;3532.8;0.09;-0.68;26.7;4.32;0.0;0.0
20;09:30;0.54;21.41;0.0;0.0;11514.8;-11514.8;153.72;34712.3;3441.2;0.09;-0.63;26.7;4.33;0.0;0.0
21;10:00;0.49;21.41;0.0;0.0;10855.63;-10855.63;146.01;31390.2;3564.9;0.09;-0.58;26.9;4.34;0.0;0.0
22;10:30;0.42;21.41;0.0;0.0;10230.19;-10230.19;137.6;27200.4;3918.8;0.09;-0.53;26.9;4.35;0.0;0.0
23;11:00;0.37;21.41;0.0;0.0;9694.42;-9694.42;145.9;24159.8;4088.7;0.09;-0.5;30.1;4.35;0.0;0.0
24;11:30;0.35;21.41;0.0;0.0;9251.23;-9251.23;139.23;22347.5;4062.2;0.09;-0.5;30.1;4.35;0.0;0.0
25;12:00;0.34;21.41;0.0;0.0;8876.83;-8876.83;130.93;21812.3;3805.7;0.09;-0.52;29.5;4.35;0.0;0.0
26;12:30;0.35;21.41;0.0;0.0;8576.58;-8576.58;126.5;22642.4;3303.5;0.09;-0.57;29.5;4.34;0.0;0.0
27;13:00;0.37;21.41;0.0;0.0;9129.19;-9129.19;129.63;23546.4;3630.8;0.09;-0.65;28.4;4.32;0.0;0.0
28;13:30;0.38;21.41;0.0;0.0;10594.34;-10594.34;150.44;24529.4;4844.6;0.09;-0.75;28.4;4.31;0.0;0.0
29;14:00;0.39;21.41;0.0;0.0;10797.63;-10797.63;149.01;24791.2;4962.7;0.09;-0.85;27.6;4.29;0.0;0.0
30;14:30;0.38;21.41;0.0;0.0;9649.76;-9649.76;133.17;24282.1;3909.5;0.09;-0.95;27.6;4.27;0.0;0.0
31;15:00;0.37;21.41;0.0;0.0;9848.69;-9848.69;137.39;23129.2;4372.1;0.09;-0.98;27.9;4.26;0.0;0.0
32;15:30;0.34;21.41;0.0;0.0;11489.33;-11489.33;160.28;21288.1;6455.1;0.09;-0.93;27.9;4.27;0.0;0.0
33;16:00;0.33;21.41;0.0;0.0;12250.84;-12250.84;174.57;21016.4;7275.4;0.09;-0.95;28.5;4.27;0.0;0.0
34;16:30;0.36;21.41;0.0;0.0;12073.28;-12073.28;172.04;22422.4;6746.1;0.09;-1.05;28.5;4.25;0.0;0.0
35;17:00;0.0;21.13;0.0;0.0;5951.68;-5951.68;94.93;23364.2;5951.7;0.37;-1.15;31.9;4.23;0.0;0.0
36;17:30;0.38;21.13;0.0;0.0;10575.7;-10575.7;168.68;23809.8;4873.9;0.37;-1.25;31.9;4.22;0.0;0.0
37;18:00;0.38;21.13;0.0;0.0;11238.01;-11238.01;175.31;23457.9;5601.4;0.37;-1.32;31.2;4.2;0.0;0.0
