timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;21.57;132.49;0.0;0.0;731.57;-731.57;-0.55;0.0;0.0;0.0;0.0;-2.0;-1.5;4.08;1.38
2;00:30;0.0;0.0;21.35;132.06;0.0;0.0;129.41;-129.41;-0.1;0.0;0.0;0.0;0.15;-2.0;-1.5;4.08;1.38
3;01:00;1.0;0.0;22.05;131.63;0.0;0.0;3131.67;-3131.67;-5.79;0.0;0.0;0.0;0.0;-2.05;-3.7;4.07;1.37
4;01:30;0.2;0.0;21.99;131.2;0.0;0.0;743.54;-743.54;-1.38;0.0;0.0;0.0;0.0;-2.15;-3.7;4.05;1.35
5;02:00;0.2;0.0;21.93;130.77;0.0;0.0;744.69;-744.69;-2.12;0.0;0.0;0.0;0.0;-2.3;-5.7;4.03;1.33
6;02:30;0.26;0.0;21.93;130.34;0.0;0.0;912.26;-912.26;-2.6;0.0;0.0;0.0;0.0;-2.5;-5.7;3.99;1.29
7;03:00;0.27;0.0;21.93;129.91;0.0;0.0;1068.32;-1068.32;-3.58;0.0;0.0;0.0;0.0;-2.72;-6.7;3.95;1.25
8;03:30;0.29;0.0;21.93;129.48;0.0;0.0;1427.91;-1427.91;-4.78;0.0;0.0;0.0;0.0;-2.97;-6.7;3.91;1.21
9;04:00;0.35;0.0;21.93;129.05;0.0;0.0;1816.15;-1816.15;-5.18;0.0;0.0;0.0;0.0;-3.24;-5.7;3.86;1.16
10;04:30;0.43;0.0;21.93;128.62;0.0;0.0;2213.04;-2213.04;-6.31;0.0;0.0;0.0;0.0;-3.54;-5.7;3.8;1.1
11;05:00;0.49;0.0;21.93;128.19;0.0;0.0;2368.33;-2368.33;-2.72;0.0;0.0;0.0;0.0;-3.8;-2.3;3.76;1.06
12;05:30;0.52;0.0;21.93;127.76;0.0;0.0;2236.51;-2236.51;-2.57;0.0;0.0;0.0;0.0;-4.0;-2.3;3.72;1.02
13;06:00;0.52;0.0;21.93;127.32;0.0;0.0;2061.86;-2061.86;-27.42;0.0;0.0;0.0;0.0;-4.27;-26.6;3.67;1.0
14;06:30;0.48;0.0;21.93;126.89;0.0;0.0;1860.05;-1860.05;-24.74;0.0;0.0;0.0;0.0;-4.62;-26.6;3.61;1.0
15;07:00;0.5;0.0;21.93;87.35;0.0;0.0;1810.91;-1810.91;-16.75;0.0;0.0;0.0;0.0;-4.87;-18.5;3.56;1.0
16;07:30;0.57;0.0;21.93;86.92;0.0;0.0;1919.86;-1919.86;-17.76;0.0;0.0;0.0;0.0;-5.02;-18.5;3.54;1.0
17;08:00;0.57;0.0;21.93;86.49;0.0;0.0;2046.3;-2046.3;-8.7;0.0;0.0;0.0;0.0;-5.34;-8.5;3.48;1.0
18;08:30;0.53;0.0;21.93;82.7;0.0;0.0;2247.63;-2247.63;-9.55;0.0;0.0;0.0;0.0;-5.84;-8.5;3.39;1.0
19;09:00;0.51;0.0;21.93;82.27;0.0;0.0;2259.05;-2259.05;-0.11;0.0;0.0;0.0;0.0;-6.03;-0.1;3.36;1.0
20;09:30;0.0;1.0;21.52;75.12;0.0;0.0;3509.04;-3509.04;-0.18;0.0;0.0;0.0;0.0;-5.88;-0.1;3.38;1.0
21;10:00;1.0;0.0;21.89;74.69;0.0;0.0;3338.35;-3338.35;6.68;0.0;0.0;0.0;0.0;-5.63;4.0;3.43;1.0
22;10:30;0.0;1.0;21.48;102.96;0.0;0.0;3219.15;-3219.15;6.44;0.0;0.0;0.0;0.02;-5.28;4.0;3.49;1.0
23;11:00;1.0;0.0;21.9;102.53;0.0;0.0;3350.6;-3350.6;13.9;0.0;0.0;0.0;0.0;-4.98;8.3;3.54;1.0
24;11:30;0.38;0.0;21.9;101.21;0.0;0.0;1893.54;-1893.54;7.86;0.0;0.0;0.0;0.0;-4.73;8.3;3.59;1.0
25;12:00;0.35;0.0;21.9;100.78;0.0;0.0;2102.35;-2102.35;7.46;0.0;0.0;0.0;0.0;-4.58;7.1;3.62;1.0
