timeslot;time of day;simulationResult_electricalLoad_combined;simulationResult_RESGeneration_combined;simulationResult_PVGeneration_combined;simulationResult_SurplusEnergy_combined;simulationResult_costs_combined
1;00:00;105244.27;0.0;0.0;0.0;-78.93
2;00:30;30816.16;0.0;0.0;0.0;-23.11
3;01:00;70824.03;0.0;0.0;0.0;-131.02
4;01:30;66837.58;0.0;0.0;0.0;-123.65
5;02:00;44250.94;0.0;0.0;0.0;-126.12
6;02:30;47614.09;0.0;0.0;0.0;-135.7
7;03:00;134780.86;0.0;0.0;0.0;-451.52
8;03:30;130442.16;0.0;0.0;0.0;-436.98
9;04:00;66886.16;0.0;0.0;0.0;-190.63
10;04:30;75782.23;0.0;0.0;0.0;-215.98
11;05:00;88400.69;0.0;0.0;0.0;-101.66
12;05:30;106465.93;0.0;0.0;0.0;-122.44
13;06:00;118300.05;0.0;0.0;0.0;-1573.39
14;06:30;124755.38;0.0;0.0;0.0;-1659.25
15;07:00;162827.94;0.0;0.0;0.0;-1506.16
16;07:30;141303.25;0.0;0.0;0.0;-1307.06
17;08:00;142805.92;0.0;0.0;0.0;-606.93
18;08:30;135258.31;0.0;0.0;0.0;-574.85
19;09:00;134610.86;0.0;0.0;0.0;-6.73
20;09:30;126432.28;0.0;0.0;0.0;-6.32
21;10:00;145505.73;0.0;0.0;0.0;291.01
22;10:30;139453.25;0.0;0.0;0.0;278.91
23;11:00;135430.34;0.0;0.0;0.0;562.04
24;11:30;122501.66;0.0;0.0;0.0;508.38
25;12:00;122357.2;0.0;0.0;0.0;434.37
26;12:30;126976.24;0.0;0.0;0.0;450.77
27;13:00;125303.75;0.0;0.0;0.0;-106.51
28;13:30;129628.98;0.0;0.0;0.0;-110.18
29;14:00;124326.0;0.0;0.0;0.0;-105.68
30;14:30;127944.26;0.0;0.0;0.0;-108.75
31;15:00;135025.99;0.0;0.0;0.0;-229.54
32;15:30;126797.92;0.0;0.0;0.0;-215.56
33;16:00;129304.76;0.0;0.0;0.0;-64.65
34;16:30;128733.96;0.0;0.0;0.0;-64.37
35;17:00;139083.4;0.0;0.0;0.0;827.55
36;17:30;136453.34;0.0;0.0;0.0;811.9
37;18:00;58488.62;0.0;0.0;0.0;286.59
38;18:30;62230.38;0.0;0.0;0.0;304.93
39;19:00;142812.79;0.0;0.0;0.0;949.71
40;19:30;130620.4;0.0;0.0;0.0;868.63
41;20:00;118526.21;0.0;0.0;0.0;474.1
42;20:30;121210.33;0.0;0.0;0.0;484.84
43;21:00;99884.31;0.0;0.0;0.0;384.55
44;21:30;102178.94;0.0;0.0;0.0;393.39
45;22:00;96789.03;0.0;0.0;0.0;416.19
46;22:30;78299.49;0.0;0.0;0.0;336.69
47;23:00;55560.54;0.0;0.0;0.0;-100.01
48;23:30;49882.73;0.0;0.0;0.0;-89.79
