timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;21.77;0.0;0.0;5987.2;-5987.2;-4.49;10461.8;2987.2;0.0;-2.0;-1.5;4.08;0.0;0.0
2;00:30;0.2;21.83;0.0;0.0;4894.94;-4894.94;-3.67;6699.4;1894.9;0.0;-2.0;-1.5;4.08;0.0;0.0
3;01:00;0.2;21.91;0.0;0.0;4278.94;-4278.94;-7.92;5705.0;1278.9;0.0;-2.05;-3.7;4.07;0.0;0.0
4;01:30;0.2;21.96;0.0;0.0;4172.06;-4172.06;-7.72;7669.5;1172.1;0.0;-2.15;-3.7;4.05;0.0;0.0
5;02:00;0.2;21.99;0.0;0.0;4120.88;-4120.88;-11.74;8777.8;1120.9;0.0;-2.3;-5.7;4.03;0.0;0.0
6;02:30;0.2;22.03;0.0;0.0;4129.25;-4129.25;-11.77;8970.7;1129.2;0.0;-2.5;-5.7;3.99;0.0;0.0
7;03:00;0.2;22.05;0.0;0.0;4150.82;-4150.82;-13.91;9537.2;1150.8;0.0;-2.72;-6.7;3.95;0.0;0.0
8;03:30;0.2;22.06;0.0;0.0;4186.51;-4186.51;-14.02;10502.9;1186.5;0.0;-2.97;-6.7;3.91;0.0;0.0
9;04:00;0.2;22.07;0.0;0.0;4281.98;-4281.98;-12.2;11114.2;1282.0;0.0;-3.24;-5.7;3.86;0.0;0.0
10;04:30;0.2;22.06;0.0;0.0;4441.36;-4441.36;-12.66;11346.5;1441.4;0.0;-3.54;-5.7;3.8;0.0;0.0
11;05:00;0.2;22.04;0.0;0.0;4457.87;-4457.87;-5.13;12708.4;1457.9;0.0;-3.8;-2.3;3.76;0.0;0.0
12;05:30;0.2;21.99;0.0;0.0;4321.67;-4321.67;-4.97;15277.8;1321.7;0.0;-4.0;-2.3;3.72;0.0;0.0
13;06:00;0.36;22.03;0.0;0.0;7310.28;-7310.28;-97.23;16428.6;1910.3;0.0;-4.27;-26.6;3.67;0.0;0.0
14;06:30;0.55;22.19;0.0;0.0;11537.43;-11537.43;-153.45;16063.0;3273.7;0.0;-4.62;-26.6;3.61;0.0;0.0
15;07:00;0.43;22.24;0.0;0.0;10254.05;-10254.05;-94.85;18829.5;3836.5;0.0;-4.87;-18.5;3.56;0.0;0.0
16;07:30;0.47;22.24;0.0;0.0;10661.51;-10661.51;-98.62;24944.1;3543.5;0.0;-5.02;-18.5;3.54;0.0;0.0
17;08:00;0.82;22.39;0.0;0.0;16057.74;-16057.74;-68.25;29751.4;3690.1;0.0;-5.34;-8.5;3.48;0.0;0.0
18;08:30;0.91;22.54;0.0;0.0;17909.62;-17909.62;-76.12;33161.4;4306.8;0.04;-5.84;-8.5;3.39;0.0;0.0
19;09:00;0.69;22.54;0.0;0.0;14815.59;-14815.59;-0.74;34524.1;4458.3;0.04;-6.03;-0.1;3.36;0.0;0.0
20;09:30;0.67;22.54;0.0;0.0;14143.15;-14143.15;-0.71;33698.5;4112.7;0.04;-5.88;-0.1;3.38;0.0;0.0
21;10:00;0.62;22.54;0.0;0.0;12660.93;-12660.93;25.32;31615.4;3368.4;0.04;-5.63;4.0;3.43;0.0;0.0
22;10:30;0.54;22.54;0.0;0.0;10340.53;-10340.53;20.68;28187.9;2198.0;0.04;-5.28;4.0;3.49;0.0;0.0
23;11:00;0.5;22.54;0.0;0.0;9422.65;-9422.65;39.1;26352.4;1922.9;0.04;-4.98;8.3;3.54;0.0;0.0
24;11:30;0.49;22.54;0.0;0.0;9973.19;-9973.19;41.39;26218.7;2604.7;0.04;-4.73;8.3;3.59;0.0;0.0
25;12:00;0.5;22.54;0.0;0.0;10710.71;-10710.71;38.02;26697.2;3266.1;0.04;-4.58;7.1;3.62;0.0;0.0
26;12:30;0.52;22.54;0.0;0.0;11644.34;-11644.34;41.34;27830.2;3905.7;0.04;-4.53;7.1;3.63;0.0;0.0
27;13:00;0.51;22.54;0.0;0.0;11966.56;-11966.56;-10.17;27840.4;4253.5;0.04;-4.45;-1.7;3.64;0.0;0.0
28;13:30;0.49;22.54;0.0;0.0;11639.06;-11639.06;-9.89;26650.4;4289.4;0.04;-4.35;-1.7;3.66;0.0;0.0
29;14:00;0.46;22.54;0.0;0.0;11111.79;-11111.79;-9.45;25324.8;4158.9;0.04;-4.25;-1.7;3.67;0.0;0.0
30;14:30;0.43;22.54;0.0;0.0;10371.23;-10371.23;-8.82;23854.0;3850.5;0.04;-4.15;-1.7;3.69;0.0;0.0
31;15:00;0.43;22.54;0.0;0.0;10259.03;-10259.03;-17.44;23903.6;3749.0;0.04;-4.08;-3.4;3.71;0.0;0.0
