timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.59;133.42;0.0;0.0;744.08;-744.08;3.72;2105.9;0.0;144.1;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;21.4;132.99;0.0;0.0;142.39;-142.39;0.71;2426.0;0.0;142.4;0.1;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;1.0;0.0;22.15;132.56;0.0;0.0;3143.55;-3143.55;18.7;2791.0;0.0;143.6;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.2;0.0;22.09;132.13;0.0;0.0;747.7;-747.7;4.45;3274.0;0.0;147.7;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;22.02;131.7;0.0;0.0;744.02;-744.02;3.57;3514.0;0.0;144.0;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;21.94;131.27;0.0;0.0;738.14;-738.14;3.54;3500.3;0.0;138.1;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.82;0.0;22.46;130.84;0.0;0.0;2576.65;-2576.65;10.05;3462.2;0.0;128.8;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.71;0.0;22.88;130.41;0.0;0.0;2251.24;-2251.24;8.78;3383.3;0.0;120.0;0.38;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.59;0.0;23.2;129.98;0.0;0.0;1918.97;-1918.97;8.35;3422.1;0.0;139.0;0.7;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.28;0.0;23.2;129.55;0.0;0.0;1037.28;-1037.28;4.51;3550.7;0.0;188.7;0.7;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.61;0.0;23.52;129.12;0.0;0.0;2434.31;-2434.31;10.95;3580.8;0.0;591.3;1.02;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.0;0.2;23.24;137.69;0.0;0.0;1974.74;-1974.74;8.89;3639.9;0.0;1374.7;0.74;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.29;0.0;23.24;137.26;0.0;0.0;2671.98;-2671.98;24.72;3742.4;0.0;1787.6;0.74;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.32;0.0;23.24;136.83;0.0;0.0;2786.74;-2786.74;25.78;4057.5;0.0;1830.8;0.74;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;22.91;127.36;0.0;0.0;1525.68;-1525.68;24.87;4185.7;945.2;1525.7;0.41;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;22.59;118.34;0.0;0.0;865.83;-865.83;14.11;4162.5;897.6;865.8;0.09;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.34;0.0;22.59;117.91;0.0;0.0;1545.06;-1545.06;21.94;4350.0;0.0;523.1;0.09;-0.78;28.4;4.3;1.6;0.0;0.0
